20231004	14:56:55	7dfb1a67-070d-47dc-bd74-4918967bd480	/new-page	GET
20231004	14:56:56	bd1cbf62-0414-484c-ac86-3118c1935840	/css/style.css	GET
20231004	14:56:56	5cf1c4d9-02a2-4289-8e3e-4adf18b1383f	/img/img1.jpg	GET
20231004	14:56:56	33f08e35-11cc-422e-9801-d7f48a3bf5ef	/favicon.ico	GET
20231004	14:58:36	2ec6e965-7441-44a1-bcc9-16d63bc4994a	/new-page	GET
20231004	14:59:19	7f84b136-ca59-4b4a-b41e-c807c20d682a	/new-page	GET
20231004	14:59:19	5b533dbb-1efa-42af-9af9-aa6c3e7fe874	/css/style.css	GET
20231004	14:59:19	152ce26b-5ab9-4b78-a2d8-e2ea2132a76e	/img/img1.jpg	GET
20231006	11:19:45	086c9575-e87b-4f30-a273-359860e5db9e	GET	undefined	/
20231006	11:19:45	651e6eae-9132-4717-ace1-b67ee9713e66	GET	undefined	/css/style.css
20231006	11:42:05	2e630054-6770-4c05-b7fc-94d767ab5114	GET	undefined	/
20231006	11:42:05	a1c5ea8a-7100-4de5-805a-00d1152651e2	GET	undefined	/css/style.css
20231006	12:01:34	cda8b06c-db7e-40b6-8708-942deb99c819	OPTIONS	https://www.google.com	/
20231006	12:01:34	dee12841-2b8f-4dae-ab44-f455b52e64f5	GET	https://www.google.com	/
20231006	12:07:40	3eae045f-2cd6-4171-ac22-93d105a8d082	OPTIONS	https://www.google.com	/
20231006	12:07:40	e2317bef-a621-4b22-a60d-0ceb62fdb042	GET	https://www.google.com	/
20231006	12:27:28	692aef60-2e97-4d03-951f-0386a763909c	OPTIONS	https://www.google.com	/
20231006	12:27:28	89dfb93e-e139-411b-9cc7-b9de44258c8c	GET	https://www.google.com	/
20231006	12:29:02	6bff7010-b01f-40b5-8c4e-4aaeb19132be	OPTIONS	https://www.google.com	/
20231006	12:29:02	95b3a167-9b18-4e64-9dd9-b323dc688b2a	GET	https://www.google.com	/
20231006	12:39:52	3702facf-5cb0-4916-8343-22506f86418e	GET	undefined	/
20231006	12:40:54	a5e2c51f-5c55-4b30-8df1-1d6fbc65c9f8	GET	undefined	/
20231006	12:42:47	552f75d3-7df5-43f3-a69c-464faeb2a352	GET	undefined	/
20231006	12:42:47	63c5d4e4-a2de-4866-9d05-3fda3dd2e90c	GET	undefined	/css/style.css
20231006	12:54:07	0476a458-ee2b-4435-b991-274e3cb252cb	GET	undefined	/
20231006	12:54:17	def27f9f-339f-4648-a4e1-1207ce40179a	GET	undefined	/
20231006	12:54:17	57dbaf65-29e9-4da8-a630-5fda29d06881	GET	undefined	/css/style.css
20231006	14:41:57	d5a6c5fc-e820-4dd5-a0b2-059a49343f31	GET	undefined	/me
